,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
1607,Liga Profesional ,30/04/2016,Belgrano,Quilmes,2.0,2.0,D,1.77,3.65,5.37
1608,Liga Profesional ,30/04/2016,River Plate,Velez Sarsfield,0.0,0.0,D,2.17,3.34,3.77
1609,Liga Profesional ,30/04/2016,Godoy Cruz,Arsenal Sarandi,2.0,0.0,H,1.78,3.61,5.38
1610,Liga Profesional ,30/04/2016,Huracan,Racing Club,0.0,1.0,A,3.25,3.24,2.44
1611,Liga Profesional ,30/04/2016,Defensa y Justicia,San Martin S.J.,0.0,0.0,D,1.67,3.9,5.95
1612,Liga Profesional ,01/05/2016,Argentinos Jrs,Boca Juniors,1.0,0.0,H,2.7,3.21,2.91
1613,Liga Profesional ,02/05/2016,Rosario Central,Gimnasia L.P.,0.0,1.0,A,2.52,3.27,3.1
1614,Liga Profesional ,02/05/2016,Tigre,Lanus,0.0,1.0,A,3.8,3.31,2.17
1615,Liga Profesional ,03/05/2016,Temperley,Atl. Tucuman,1.0,1.0,D,3.08,3.08,2.67
1616,Liga Profesional ,04/05/2016,Banfield,Sarmiento Junin,0.0,0.0,D,2.16,3.13,4.13
1617,Liga Profesional ,06/05/2016,Union de Santa Fe,Argentinos Jrs,4.0,0.0,H,2.49,3.14,3.28
1618,Liga Profesional ,07/05/2016,Quilmes,Godoy Cruz,1.0,3.0,A,3.46,3.26,2.33
1619,Liga Profesional ,07/05/2016,Newells Old Boys,Defensa y Justicia,0.0,1.0,A,2.5,3.08,3.33
1620,Liga Profesional ,07/05/2016,San Martin S.J.,Temperley,2.0,0.0,H,2.13,3.17,4.15
1621,Liga Profesional ,07/05/2016,Velez Sarsfield,Colon Santa FE,2.0,0.0,H,2.36,3.14,3.53
1622,Liga Profesional ,07/05/2016,San Lorenzo,River Plate,2.0,1.0,H,1.92,3.38,4.8
1623,Liga Profesional ,08/05/2016,Racing Club,Estudiantes L.P.,0.0,0.0,D,2.75,3.13,2.93
1624,Liga Profesional ,08/05/2016,Arsenal Sarandi,Rosario Central,1.0,0.0,H,2.22,3.13,3.78
1625,Liga Profesional ,08/05/2016,Lanus,Aldosivi,2.0,0.0,H,1.47,4.38,8.62
1626,Liga Profesional ,08/05/2016,Atl. Tucuman,Belgrano,2.0,1.0,H,1.86,3.56,4.83
1627,Liga Profesional ,08/05/2016,Boca Juniors,Huracan,0.0,0.0,D,2.14,3.33,3.9
1628,Liga Profesional ,09/05/2016,Atl. Rafaela,Tigre,0.0,0.0,D,2.68,3.19,2.94
1629,Liga Profesional ,09/05/2016,Gimnasia L.P.,Independiente,3.0,3.0,D,2.61,3.02,3.22
1630,Liga Profesional ,09/05/2016,Olimpo Bahia Blanca,Banfield,1.0,1.0,D,2.42,3.17,3.38
1631,Liga Profesional ,10/05/2016,Sarmiento Junin,Patronato,1.0,0.0,H,2.24,3.2,3.76
1632,Liga Profesional ,13/05/2016,Huracan,Union de Santa Fe,1.0,1.0,D,2.03,3.42,4.17
1633,Liga Profesional ,14/05/2016,Atl. Tucuman,San Martin S.J.,3.0,2.0,H,1.46,4.45,8.7
